Country Name,Languages,Name in Original language,Population,Pop. Rank,Pop Rank Stars,Pop Growth,Pop. Growth Rank,Pop Growh Rank Stars,GDP (Million US$),GDP Rank,GDP Rank Stars,GDP per capita (USD),GDP per capita Rank,GDP per capita Rank Stars,Continent,Capital,Government,"Area, Sq km2",Area Rank,Area Rank Stars,Currency,Gini Index,Gini Rank,Gini Index Rank Stars,Climate,EU?,Schengen?,WPFI,WPFI Rank,WPFI Rank Stars,HDI,HDI Rank,HDI Rank Stars,General info,Iso Code,Len(info),Len(name),Non-Independent,Chinese
Afghanistan,"Dari, Pashto",افغانستان Afghanestan ,"42,239,854",36,3,2.70%,16,4,"14,939",129,1,354,193,1,Asia,Kabul,Provisional,652867,40,4,Afghan afghani,29.4,28,5,"Arid; highlands, varied extremes",,,39.75,147,1,0.478,179,1,"Afghanistan, a landlocked nation at the crossroads of Central and South Asia, is defined by the rugged Hindu Kush and a history as a key Silk Road link. For centuries, it has been a ""graveyard of empires,"" its people resisting numerous invasions. The culture is rich in poetry and hospitality. Despite significant undeveloped mineral wealth, the war-torn country faces extreme poverty and is the world's largest opium producer. The 2021 Taliban takeover has deepened a severe humanitarian crisis, leaving its future uncertain.",AF,526,11,No,阿富汗
Albania,Albanian,Shqipëria,"2,832,439",135,2,-0.35%,181,1,"18,260",119,1,"6,447",95,2,Europe,Tirana,Republic,28748,140,2,Albanian lek,30.8,39,4,"Mediterranean; hot, dry summers",,,57.86,92,2,0.796,66,4,"Albania, a small Balkan country, is famed for its stunning Adriatic and Ionian coastlines, known as the Albanian Riviera. After decades of severe communist isolation under Enver Hoxha, which left a legacy of thousands of concrete bunkers dotting the landscape, the country has undergone a remarkable transformation. A candidate for EU membership, it boasts ancient archaeological sites, Ottoman architecture, and a unique language with no close relatives in Europe. The country is also the birthplace of Mother Teresa, a symbol of compassion worldwide.",AL,552,7,No,阿尔巴尼亚
Algeria,"Arabic, Berber",Dzayer,"45,606,481",34,3,1.57%,59,3,"163,473",56,2,"3,584",127,2,Africa,Algiers,Republic,2381741,10,5,Algerian dinar,27.6,20,5,Arid; desert and coastal,,,45.74,132,2,0.745,90,4,"As Africa's largest country, Algeria is a land of contrasts, from its Mediterranean coast with the historic Casbah of Algiers to the vast, resource-rich Sahara desert, home to the indigenous Tuareg people. Its history is defined by a bloody war for independence from France and reliance on oil and gas. Culturally, it's known for Rai music. Despite its wealth, the country grapples with political instability, high youth unemployment, and the challenge of diversifying its economy.",DZ,481,7,No,阿尔及利亚
Andorra,Catalan,Andorra,"80,088",185,1,0.33%,148,2,"3,325",163,1,"41,517",26,5,Europe,Andorra la Vella,Constitutional monarchy,468,179,1,European euro,35,71,4,"Mountainous; cool climate, variable",,,75.05,36,4,0.858,40,5,"Tucked in the Pyrenees, Andorra is a tiny co-principality governed by two princes: Spain's Bishop of Urgell and France's President. This microstate thrives on tourism, with ski resorts and duty-free shopping. It boasts one of the world's highest life expectancies, but its prosperity depends on its tax-haven status and neighbors' economic health, making it vulnerable to pressures for financial transparency.",AD,409,7,No,安道尔
Angola,"Kongo, Portuguese",Angola,"36,684,203",42,3,3.08%,8,5,"70,533",72,2,"1,923",151,1,Africa,Luanda,Republic,1246700,22,5,Angolan kwanza,51.3,174,1,Tropical; varies with elevation,,,48.3,121,2,0.586,147,2,"Angola, a resource-rich nation in Southern Africa, is a top oil producer. This wealth contrasts with widespread poverty remaining after a devastating 27-year civil war that ended in 2002. A former Portuguese colony, its culture is a vibrant mix of African and Portuguese influences, expressed in Semba music, a predecessor to Samba. The nation faces the immense task of rebuilding, tackling corruption, and diversifying its economy beyond oil and diamonds.",AO,456,6,No,安哥拉
Antigua and Barbuda,English,Antigua and Barbuda,"94,298",184,1,0.57%,133,2,"1,421",178,1,"15,069",56,3,North America,Saint John's,Constitutional monarchy,442,182,1,East Caribbean dollar,-,-,0,"Tropical; hot, semi-arid",,,-,-,0,0.788,70,4,"This twin-island Caribbean paradise claims 365 beaches. Antigua's history is marked by its strategic importance for the British navy, with Nelson's Dockyard a restored naval base. In contrast, flat, coral Barbuda was devastated by 2017's Hurricane Irma, which destroyed or damaged 95% of its buildings. The nation's economy relies heavily on high-end tourism, leaving it vulnerable to climate change and natural disasters.",AG,422,19,No,安提瓜和巴布达
Argentina,Spanish,Argentina,"45,773,884",33,3,0.58%,132,2,"487,227",27,3,"10,644",68,3,South America,Buenos Aires,Republic,2780400,8,5,Argentine peso,42.3,136,3,Varied; tropical to subpolar,,,73.36,39,3,0.842,46,4,"Argentina, a vast South American nation, boasts dramatic landscapes from the Andes and Patagonian ice fields to Iguazu Falls. Its culture is a fusion of European and local traditions, epitomized by the passionate tango in Buenos Aires. Famed for high-quality beef, Malbec wine, and football legends like Maradona and Messi, it's a nation of contrasts. However, its history is plagued by extreme economic volatility, with cycles of hyperinflation and debt defaults causing persistent social and political instability.",AR,516,9,No,阿根廷
Armenia,Armenian,Hayastán,"2,777,971",137,2,-0.09%,173,1,"13,861",136,1,"4,990",108,2,Asia,Yerevan,Republic,29743,138,2,Armenian dram,25.2,8,5,"Highland continental; dry, sunny",,,70.61,48,3,0.759,84,4,"Armenia, one of the world's oldest civilizations, was the first to adopt Christianity as a state religion in 301 AD, a legacy seen in its ancient monasteries. National identity is deeply shaped by the memory of the Armenian Genocide and its symbol, Mount Ararat, visible from the capital but lying within modern-day Turkey. The country has complex relations with its neighbors, particularly Azerbaijan over the disputed Nagorno-Karabakh region, and relies on its large and influential diaspora.",AM,494,7,No,亚美尼亚
Australia,English,Australia,"26,439,112",55,3,1.00%,93,2,"1,734,532",12,4,"65,605",12,5,Oceania,Canberra,Constitutional monarchy,7692024,6,5,Australian dollar,34.3,61,4,Diverse; tropical to temperate,,,78.24,27,4,0.951,4,5,"Australia, a continent-country of vast open spaces, is defined by its stunning natural beauty, from the Outback and Great Barrier Reef to unique wildlife like kangaroos. Its vibrant, multicultural cities like Sydney are global hubs. Australia's wealth is built on mining and agriculture, but it faces severe environmental threats like massive bushfires, droughts, and the world's highest mammal extinction rate. The ancient culture of its Aboriginal and Torres Strait Islander peoples is a vital part of its identity, gaining increasing recognition.",AU,549,9,No,澳大利亚
Austria,German,Österreich,"8,958,961",99,2,0.22%,153,2,"480,368",30,3,"53,619",15,5,Europe,Vienna,Republic,83871,113,2,European euro,26.7,15,5,"Temperate; alpine, varied",Yes,Yes,77.3,29,4,0.916,24,5,"Austria, a land of Alpine beauty and musical legends like Mozart, is famed for Vienna's opulent coffee houses, a UNESCO heritage. Its history echoes with the vast Habsburg Empire, but also carries the dark legacy of being Adolf Hitler's birthplace and its annexation into Nazi Germany. The birthplace of Sigmund Freud and Arnold Schwarzenegger, its dramatic landscapes, from Krimml Waterfalls to the Danube, are as captivating as its imperial past. Its flag is one of the oldest in the world.",AT,492,7,No,奥地利
